<Ticker>,<DTYYYYMMDD>,<Open>,<High>,<Low>,<Close>,<Volume>
DHG,20121213,28.55,28.75,28.35,28.55,7990
DHG,20121212,27.94,28.55,27.94,28.55,10080
DHG,20121211,26.93,27.94,26.93,27.94,9460
DHG,20121210,27.13,27.33,26.73,27.13,4820
DHG,20121207,26.52,27.13,26.52,27.13,4790
DHG,20121206,26.93,27.14,26.53,27.13,8710
DHG,20121205,26.72,26.72,26.52,26.73,8250
DHG,20121204,26.32,26.52,26.12,26.52,12060
DHG,20121203,26.52,26.52,26.32,26.52,8370
DHG,20121130,26.32,26.93,26.32,26.32,4400
DHG,20121129,26.32,26.93,26.32,26.73,3010
DHG,20121128,25.92,27.33,25.72,27.33,10780
DHG,20121127,26.32,26.32,26.12,26.12,14400
DHG,20121126,26.73,26.73,26.12,26.12,11440
DHG,20121123,26.93,26.93,26.73,26.73,860
DHG,20121122,26.93,27.13,26.32,27.13,8180
DHG,20121121,27.13,27.13,26.93,26.93,15360
DHG,20121120,26.12,26.92,26.12,26.93,4940
DHG,20121119,26.12,26.52,26.12,26.52,260
DHG,20121116,26.32,26.32,26.12,26.12,17410
DHG,20121115,26.52,26.72,26.52,26.52,6420
DHG,20121114,26.52,26.52,26.52,26.52,10
DHG,20121113,26.53,26.53,26.12,26.52,1810
DHG,20121112,26.32,26.73,25.72,26.73,7530
DHG,20121109,26.12,26.12,25.52,25.92,7820
DHG,20121108,26.12,26.12,25.72,25.92,760
DHG,20121107,26.32,26.32,25.71,26.12,3600
DHG,20121106,25.92,26.73,25.72,26.32,6780
DHG,20121105,26.93,26.93,26.32,26.93,3110
DHG,20121102,25.73,26.73,25.73,26.73,24430
DHG,20121101,27.72,27.72,26.92,26.93,15590
DHG,20121031,26.33,27.73,26.33,27.72,6020
DHG,20121030,27.33,27.33,26.73,26.73,3350
DHG,20121029,26.53,26.73,26.33,26.73,1250
DHG,20121026,27.72,27.72,26.72,26.73,35360
DHG,20121025,27.92,27.92,27.52,27.72,25650
DHG,20121024,28.32,28.32,27.52,27.52,5920
DHG,20121023,28.52,28.52,27.32,27.72,15340
DHG,20121022,28.52,28.52,28.52,28.52,4090
DHG,20121019,29.12,29.12,28.32,28.32,12200
DHG,20121018,28.32,28.72,28.32,28.32,17350
DHG,20121017,28.92,29.12,28.72,29.12,10100
DHG,20121016,28.12,29.72,28.12,28.92,20050
DHG,20121015,29.32,29.32,28.32,28.32,14420
DHG,20121012,29.12,29.32,28.72,29.32,2910
DHG,20121011,29.32,29.32,28.92,29.32,6220
DHG,20121010,29.12,29.52,29.12,29.32,610
DHG,20121009,29.92,29.92,29.32,29.52,12780
DHG,20121008,28.92,29.12,28.12,28.92,1950
DHG,20121005,28.52,28.52,28.32,28.32,860
DHG,20121004,27.72,28.32,27.72,28.32,5420
DHG,20121003,28.72,28.72,27.72,27.72,20700
DHG,20121002,28.32,28.72,28.32,28.72,7060
DHG,20121001,29.92,29.92,28.32,28.32,44490
DHG,20120928,29.72,29.72,29.12,29.12,1880
DHG,20120927,28.72,29.52,28.72,29.52,10250
DHG,20120926,29.32,29.32,28.92,28.92,1250
DHG,20120925,28.92,29.32,28.92,29.32,3080
DHG,20120924,29.32,29.72,29.32,29.52,350
DHG,20120921,29.12,29.12,29.12,29.12,1270
DHG,20120920,29.12,29.72,28.92,28.92,9170
DHG,20120919,29.32,29.92,28.92,29.92,3030
DHG,20120918,29.12,29.92,28.92,29.92,12610
DHG,20120917,30.32,30.32,28.72,29.12,9260
DHG,20120914,29.52,29.92,28.72,29.12,13510
DHG,20120913,29.72,30.52,29.52,29.52,6780
DHG,20120912,30.32,30.32,30.12,30.32,9730
DHG,20120911,30.12,30.12,29.52,29.92,7350
DHG,20120910,30.32,30.32,29.12,29.92,14050
DHG,20120907,29.12,29.52,29.12,29.52,4260
DHG,20120906,28.72,29.52,28.72,29.12,14510
DHG,20120905,30.32,30.32,29.12,29.12,14360
DHG,20120904,30.52,30.52,29.52,29.52,14810
DHG,20120831,29.92,29.92,28.92,29.52,13810
DHG,20120830,28.32,29.32,28.32,29.32,4620
DHG,20120829,28.72,29.52,28.72,29.32,6540
DHG,20120828,28.72,29.32,27.32,29.32,30530
DHG,20120827,28.32,28.72,27.92,27.92,42920
DHG,20120824,25.53,27.53,25.53,27.52,2670
DHG,20120823,27.72,27.72,26.32,26.33,51140
DHG,20120822,28.12,29.32,27.52,27.52,51480
DHG,20120821,29.72,29.92,28.32,28.92,15690
DHG,20120820,29.72,29.72,28.32,29.72,36780
DHG,20120817,28.32,28.32,27.52,28.32,63140
DHG,20120816,26.33,27.13,26.13,27.12,36820
DHG,20120815,25.93,25.93,25.73,25.93,31740
DHG,20120814,25.53,26.13,25.53,25.53,27600
DHG,20120813,25.93,25.93,25.33,25.33,17700
DHG,20120810,25.73,25.93,25.53,25.53,16220
DHG,20120809,25.53,25.73,25.33,25.73,25560
DHG,20120808,25.53,25.53,25.13,25.53,9210
DHG,20120807,25.13,25.33,25.13,25.13,14200
DHG,20120806,25.33,25.33,24.13,25.33,15530
DHG,20120803,24.73,24.93,24.73,24.93,9460
DHG,20120802,24.73,24.73,24.53,24.73,1380
DHG,20120731,24.73,24.93,24.73,24.73,1870
DHG,20120730,25.13,25.53,24.93,25.13,24380
DHG,20120727,24.13,25.13,24.13,25.13,63020
DHG,20120726,24.13,24.13,24.13,24.13,3420
DHG,20120725,23.73,24.13,23.73,24.13,16620
DHG,20120724,23.93,24.13,23.53,24.13,1650
DHG,20120723,24.73,24.73,23.93,24.13,44230
DHG,20120720,24.33,24.33,23.93,24.13,7150
DHG,20120719,23.73,23.73,23.73,23.73,3910
DHG,20120718,23.93,23.93,23.73,23.73,280
DHG,20120717,23.73,24.13,23.73,23.73,6680
DHG,20120716,24.73,24.73,23.73,23.73,21900
DHG,20120713,24.53,24.53,23.73,23.93,6170
DHG,20120712,23.14,23.74,22.94,23.73,750
DHG,20120711,23.13,23.93,23.13,23.14,1190
DHG,20120710,22.74,23.54,22.74,23.53,17800
DHG,20120709,23.93,23.93,22.73,22.74,5850
DHG,20120706,24.33,24.33,23.53,23.53,1110
DHG,20120705,23.53,23.53,23.53,23.53,1760
DHG,20120704,24.73,24.73,23.53,23.53,7110
DHG,20120703,24.13,24.13,23.33,24.13,830
DHG,20120702,25.33,25.33,24.13,24.13,3350
DHG,20120629,24.33,25.33,24.33,25.33,20040
DHG,20120628,24.14,24.14,23.14,24.13,28350
DHG,20120627,22.74,23.14,22.74,23.14,50
DHG,20120626,23.14,23.14,23.14,23.14,3250
DHG,20120625,23.13,23.53,23.13,23.14,1130
DHG,20120622,23.73,23.73,23.13,23.53,1300
DHG,20120621,23.33,23.73,23.33,23.73,20
DHG,20120620,23.73,23.73,23.53,23.53,510
DHG,20120619,23.93,23.93,23.93,23.93,100
DHG,20120618,24.33,24.33,23.13,23.93,3650
DHG,20120615,23.53,23.53,23.33,23.53,2050
DHG,20120614,23.53,23.53,23.53,23.53,80
DHG,20120613,23.34,23.54,23.34,23.53,1800
DHG,20120612,23.53,23.53,23.33,23.34,4990
DHG,20120611,24.93,24.93,23.93,23.93,2650
DHG,20120608,23.94,23.94,23.94,23.93,170
DHG,20120607,22.76,23.54,22.76,23.54,10950
DHG,20120606,22.36,23.54,22.36,23.54,20920
DHG,20120605,22.75,23.34,22.75,22.95,2520
DHG,20120604,22.95,22.95,22.95,22.95,520
DHG,20120601,23.54,23.54,23.54,23.54,80
DHG,20120531,23.54,24.32,23.34,24.32,32320
DHG,20120530,23.54,23.54,23.54,23.54,260
DHG,20120529,23.54,23.54,23.15,23.54,420
DHG,20120528,23.14,23.53,23.14,23.54,10950
DHG,20120525,23.93,23.93,23.15,23.14,20670
DHG,20120524,24.32,24.32,23.54,23.54,10810
DHG,20120523,23.93,23.93,23.54,23.54,2910
DHG,20120522,23.93,23.93,23.73,23.93,1210
DHG,20120521,23.54,24.72,23.54,24.71,21000
DHG,20120518,23.53,23.73,22.95,23.54,7620
DHG,20120517,22.75,23.93,22.75,23.73,4750
DHG,20120516,24.32,24.32,23.34,23.34,5610
DHG,20120515,24.52,24.52,23.54,23.54,3150
DHG,20120514,24.91,24.91,24.51,24.52,290
DHG,20120511,24.71,24.71,23.93,24.71,7000
DHG,20120510,24.32,24.32,24.32,24.32,13580
DHG,20120509,23.73,24.90,23.73,24.71,14360
DHG,20120508,23.92,24.12,23.92,24.12,9610
DHG,20120507,24.32,24.32,23.92,24.12,7350
DHG,20120504,24.51,24.51,23.92,24.12,5100
DHG,20120503,24.32,24.32,24.12,24.12,850
DHG,20120502,23.93,24.52,23.93,24.32,9780
DHG,20120427,24.71,24.71,24.12,24.52,410
DHG,20120426,24.32,24.52,24.32,24.32,9990
DHG,20120425,25.30,25.30,24.12,24.52,8140
DHG,20120424,23.93,24.32,23.93,24.32,8390
DHG,20120423,25.10,25.10,23.93,23.93,11360
DHG,20120420,23.73,24.52,23.73,24.32,3200
DHG,20120419,24.52,24.52,24.13,24.32,6940
DHG,20120418,24.51,24.71,24.51,24.52,3180
DHG,20120417,24.71,24.71,24.51,24.71,3150
DHG,20120416,24.91,25.11,24.71,25.10,10380
DHG,20120413,24.71,24.91,24.71,24.91,11220
DHG,20120412,24.71,24.90,24.71,24.91,3650
DHG,20120411,25.49,25.49,25.10,25.10,2070
DHG,20120410,24.71,24.71,24.71,24.71,9470
DHG,20120409,24.71,24.71,24.71,24.71,1320
DHG,20120406,24.71,24.91,24.71,24.71,8670
DHG,20120405,25.49,25.49,24.71,24.71,10430
DHG,20120404,24.71,25.10,24.71,24.71,9180
DHG,20120403,24.32,25.10,24.32,25.10,3000
DHG,20120330,25.30,25.30,25.10,25.10,60
DHG,20120329,25.10,25.10,24.90,25.10,17290
DHG,20120328,25.49,25.49,25.10,25.10,8220
DHG,20120327,25.50,25.50,24.91,25.10,7680
DHG,20120326,25.30,25.89,25.10,25.30,9020
DHG,20120323,24.71,25.30,24.32,25.30,16280
DHG,20120322,25.30,25.30,24.71,24.71,12960
DHG,20120321,23.73,24.71,23.73,24.71,7730
DHG,20120320,25.11,25.11,24.13,24.71,11400
DHG,20120319,25.49,25.49,24.51,24.52,1570
DHG,20120316,24.71,24.71,24.71,24.71,15760
DHG,20120315,24.71,24.71,24.32,24.71,3490
DHG,20120314,24.32,25.50,24.32,24.32,16110
DHG,20120313,24.52,24.52,24.32,24.52,3390
DHG,20120312,24.52,24.72,24.52,24.52,8300
DHG,20120309,24.12,24.51,24.12,24.52,130
DHG,20120308,24.91,25.30,23.73,23.73,28830
DHG,20120307,24.71,25.10,24.71,24.91,7450
DHG,20120306,25.89,26.09,24.52,24.71,5700
DHG,20120305,24.91,25.50,24.71,25.50,15200
DHG,20120302,24.71,24.90,24.12,24.32,17980
DHG,20120301,24.71,24.71,24.12,24.12,15770
DHG,20120229,24.13,24.71,24.13,24.32,7960
DHG,20120228,24.52,24.52,23.93,23.93,17530
DHG,20120227,24.91,24.91,24.32,24.52,13840
DHG,20120224,24.91,24.91,24.51,24.52,10560
